Site_ID,Country,Biome,Bait_Type,Number_of_Ants,Percent_of_Baits_with_Ants,CountryTotalAntBaitType,Latitude,Longitude,Habitat_type,Elevation,Distance_from_shore,Precipitation,Temperature,Contributor,Site_Details
168,Argentina,Tropical seasonal forest/Savanna,Amino Acids,4,40,27,-25.67483333,-54.44975,subtropical rainforest,192,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
168,Argentina,Tropical seasonal forest/Savanna,Cookie,21,80,134,-25.67483333,-54.44975,subtropical rainforest,192,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
168,Argentina,Tropical seasonal forest/Savanna,Olive Oil,197,60,584,-25.67483333,-54.44975,subtropical rainforest,192,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
168,Argentina,Tropical seasonal forest/Savanna,Salt,34,80,169,-25.67483333,-54.44975,subtropical rainforest,192,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
168,Argentina,Tropical seasonal forest/Savanna,Sugar,8,40,419,-25.67483333,-54.44975,subtropical rainforest,192,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
168,Argentina,Tropical seasonal forest/Savanna,Water,1,20,11,-25.67483333,-54.44975,subtropical rainforest,192,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
169,Argentina,Tropical seasonal forest/Savanna,Amino Acids,4,40,27,-25.672171,-54.448918,subtropical rainforest,180,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
169,Argentina,Tropical seasonal forest/Savanna,Cookie,18,60,134,-25.672171,-54.448918,subtropical rainforest,180,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
169,Argentina,Tropical seasonal forest/Savanna,Olive Oil,97,80,584,-25.672171,-54.448918,subtropical rainforest,180,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
169,Argentina,Tropical seasonal forest/Savanna,Salt,10,60,169,-25.672171,-54.448918,subtropical rainforest,180,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
169,Argentina,Tropical seasonal forest/Savanna,Sugar,103,100,419,-25.672171,-54.448918,subtropical rainforest,180,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
169,Argentina,Tropical seasonal forest/Savanna,Water,6,60,11,-25.672171,-54.448918,subtropical rainforest,180,574,1716,21.1,C. Paris; P. Hanish; B.Wills; A. Suarez,Iguazu
170,Argentina,Temperate seasonal forest,Amino Acids,2,20,4,-27.46056,-58.55523,Celtis tala forest and grassland,63,985,1253,21.8,C. Paris; P. Hanish; B.Wills; A. Suarez,
170,Argentina,Temperate seasonal forest,Cookie,22,60,48,-27.46056,-58.55523,Celtis tala forest and grassland,63,985,1253,21.8,C. Paris; P. Hanish; B.Wills; A. Suarez,
170,Argentina,Temperate seasonal forest,Olive Oil,0,0,7,-27.46056,-58.55523,Celtis tala forest and grassland,63,985,1253,21.8,C. Paris; P. Hanish; B.Wills; A. Suarez,
170,Argentina,Temperate seasonal forest,Salt,0,0,4,-27.46056,-58.55523,Celtis tala forest and grassland,63,985,1253,21.8,C. Paris; P. Hanish; B.Wills; A. Suarez,
170,Argentina,Temperate seasonal forest,Sugar,22,80,106,-27.46056,-58.55523,Celtis tala forest and grassland,63,985,1253,21.8,C. Paris; P. Hanish; B.Wills; A. Suarez,
170,Argentina,Temperate seasonal forest,Water,0,0,1,-27.46056,-58.55523,Celtis tala forest and grassland,63,985,1253,21.8,C. Paris; P. Hanish; B.Wills; A. Suarez,
171,Argentina,Temperate seasonal forest,Amino Acids,2,20,4,-27.60605,-58.74098,forest and grasslandwith Cortadeira selloana,60,1041,1226,21.5,C. Paris; P. Hanish; B.Wills; A. Suarez,
171,Argentina,Temperate seasonal forest,Cookie,26,60,48,-27.60605,-58.74098,forest and grasslandwith Cortadeira selloana,60,1041,1226,21.5,C. Paris; P. Hanish; B.Wills; A. Suarez,
171,Argentina,Temperate seasonal forest,Olive Oil,7,40,7,-27.60605,-58.74098,forest and grasslandwith Cortadeira selloana,60,1041,1226,21.5,C. Paris; P. Hanish; B.Wills; A. Suarez,
171,Argentina,Temperate seasonal forest,Salt,4,40,4,-27.60605,-58.74098,forest and grasslandwith Cortadeira selloana,60,1041,1226,21.5,C. Paris; P. Hanish; B.Wills; A. Suarez,
171,Argentina,Temperate seasonal forest,Sugar,84,40,106,-27.60605,-58.74098,forest and grasslandwith Cortadeira selloana,60,1041,1226,21.5,C. Paris; P. Hanish; B.Wills; A. Suarez,
171,Argentina,Temperate seasonal forest,Water,1,20,1,-27.60605,-58.74098,forest and grasslandwith Cortadeira selloana,60,1041,1226,21.5,C. Paris; P. Hanish; B.Wills; A. Suarez,
172,Argentina,Tropical seasonal forest/Savanna,Amino Acids,0,0,27,-25.6769,-58.44948333,subtropical rainforest,190,1023,1209,22.3,C. Paris; P. Hanish; B.Wills; A. Suarez,
172,Argentina,Tropical seasonal forest/Savanna,Cookie,23,60,134,-25.6769,-58.44948333,subtropical rainforest,190,1023,1209,22.3,C. Paris; P. Hanish; B.Wills; A. Suarez,
172,Argentina,Tropical seasonal forest/Savanna,Olive Oil,142,80,584,-25.6769,-58.44948333,subtropical rainforest,190,1023,1209,22.3,C. Paris; P. Hanish; B.Wills; A. Suarez,
